"Category","Parameter","Value","Description"
"Geometric","degrees","10.0","Random rotation by +/- 10 degrees."
"","translate","0.1","Random H/V shift by +/- 10%."
"","scale","0.5","Random zoom by +/- 50%."
"","shear","3.0","Shear transformation by +/- 3 degrees."
"","perspective","0.0005","Minor random perspective warp."
"","fliplr","0.5","Horizontal flip (50% probability)."
"Color","hsv_h","0.015","Hue channel shift by +/- 1.5%."
"","hsv_s","0.7","Saturation channel shift by +/- 70%."
"","hsv_v","0.4","Value (brightness) shift by +/- 40%."
"Structural","mosaic","1.0","Combine 4 images into one mosaic."
"","close_mosaic","20","Disable mosaic for final 20 epochs."
"Albumentations","Blur","p=0.01","Simple blur (1% probability)."
"","MedianBlur","p=0.01","Median blur (1% probability)."
"","ToGray","p=0.01","Convert to grayscale (1% probability)."
"","CLAHE","p=0.01","Apply CLAHE contrast enhancement (1% prob)."
