epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4251,3.66636,4.62921,2.72376,0.00035,0.06615,0.00028,7e-05,4.17814,4.42508,3.15335,0.00328502,0.00328502,0.00328502
2,119.02,3.16206,3.84805,2.20282,0.51041,0.03695,0.00481,0.0013,3.56484,28.1718,4.34901,0.00659652,0.00659652,0.00659652
3,176.332,2.41131,2.63658,1.71054,0.40123,0.0758,0.04234,0.0136,2.70733,4.87383,2.54191,0.00988601,0.00988601,0.00988601
4,233.998,2.13366,2.10555,1.5072,0.42769,0.19899,0.1873,0.07409,2.20197,2.36316,1.71165,0.009901,0.009901,0.009901
5,291.071,1.98757,1.81924,1.42848,0.45704,0.34762,0.33665,0.15118,2.01071,1.8416,1.48381,0.009868,0.009868,0.009868
6,347.705,1.90466,1.65433,1.37903,0.55165,0.43135,0.44703,0.20558,1.94192,1.64496,1.44,0.009835,0.009835,0.009835
7,404.805,1.84177,1.53544,1.34612,0.48822,0.45046,0.43042,0.18994,1.93748,1.54332,1.44233,0.009802,0.009802,0.009802
8,462.019,1.81073,1.44882,1.31945,0.59801,0.45629,0.48092,0.22026,1.90894,1.56627,1.41263,0.009769,0.009769,0.009769
9,518.844,1.76145,1.36143,1.29949,0.62928,0.4998,0.55078,0.27774,1.76781,1.37141,1.3217,0.009736,0.009736,0.009736
10,575.136,1.72487,1.31844,1.28195,0.62415,0.51023,0.56162,0.28028,1.8339,1.32994,1.36884,0.009703,0.009703,0.009703
11,631.996,1.70505,1.26812,1.26453,0.67653,0.53558,0.59841,0.3033,1.70705,1.25334,1.31216,0.00967,0.00967,0.00967
12,688.686,1.67474,1.23654,1.25455,0.65127,0.52142,0.57992,0.30153,1.71506,1.37619,1.32733,0.009637,0.009637,0.009637
13,745.418,1.64724,1.20901,1.24674,0.64594,0.52945,0.58581,0.3179,1.67991,1.40261,1.27731,0.009604,0.009604,0.009604
14,801.648,1.64044,1.18317,1.24014,0.69806,0.54528,0.6218,0.34055,1.67527,1.26697,1.28844,0.009571,0.009571,0.009571
15,858.715,1.6176,1.14395,1.22682,0.68846,0.59762,0.65905,0.36715,1.63695,1.12371,1.25546,0.009538,0.009538,0.009538
16,915.324,1.60089,1.12531,1.2088,0.71751,0.60539,0.67507,0.3793,1.63175,1.0572,1.26372,0.009505,0.009505,0.009505
17,972.081,1.58397,1.10861,1.21005,0.77475,0.59323,0.68271,0.38186,1.60593,1.0762,1.2628,0.009472,0.009472,0.009472
18,1028.09,1.55967,1.08573,1.19416,0.73578,0.61669,0.68804,0.38777,1.60793,1.03676,1.25105,0.009439,0.009439,0.009439
19,1084.89,1.55721,1.07627,1.19103,0.75658,0.62654,0.69604,0.38741,1.63867,1.04559,1.24929,0.009406,0.009406,0.009406
20,1141.86,1.54071,1.06837,1.19078,0.70876,0.64348,0.69908,0.41219,1.49959,1.03583,1.20335,0.009373,0.009373,0.009373
21,1198.73,1.52639,1.03001,1.17251,0.74252,0.63237,0.71136,0.41364,1.54379,0.99604,1.22228,0.00934,0.00934,0.00934
22,1255.15,1.51062,1.03174,1.17646,0.77461,0.62461,0.71033,0.40876,1.56104,0.98396,1.20509,0.009307,0.009307,0.009307
23,1311.62,1.50998,1.01823,1.17085,0.75393,0.65937,0.72702,0.43237,1.48902,0.94863,1.19138,0.009274,0.009274,0.009274
24,1368.15,1.50508,0.99899,1.16975,0.78047,0.64307,0.72095,0.42972,1.50972,0.93778,1.20062,0.009241,0.009241,0.009241
25,1425.25,1.49108,0.98538,1.16168,0.74854,0.64738,0.71955,0.43373,1.44895,0.99197,1.18152,0.009208,0.009208,0.009208
26,1481.74,1.48708,0.98823,1.15917,0.76576,0.64788,0.72751,0.42973,1.49083,0.96673,1.19119,0.009175,0.009175,0.009175
27,1538.58,1.47856,0.97274,1.15406,0.78888,0.67519,0.75021,0.45191,1.47884,0.91928,1.1752,0.009142,0.009142,0.009142
28,1595.55,1.4805,0.97625,1.15879,0.77943,0.67462,0.7493,0.46007,1.40844,0.89558,1.14788,0.009109,0.009109,0.009109
29,1652.36,1.46845,0.95326,1.14595,0.7747,0.66979,0.74134,0.45366,1.45956,0.94478,1.163,0.009076,0.009076,0.009076
30,1708.23,1.45949,0.95849,1.14614,0.76271,0.67573,0.74649,0.45264,1.44293,0.91177,1.16224,0.009043,0.009043,0.009043
31,1765.38,1.4619,0.95552,1.14722,0.79685,0.67115,0.75664,0.45226,1.48109,0.90632,1.18453,0.00901,0.00901,0.00901
32,1822.11,1.44259,0.93067,1.14045,0.78765,0.6653,0.74736,0.46501,1.37443,0.91344,1.14114,0.008977,0.008977,0.008977
33,1878.5,1.43717,0.92997,1.13437,0.82146,0.67288,0.75585,0.46196,1.42469,0.86535,1.15263,0.008944,0.008944,0.008944
34,1934.25,1.42602,0.92946,1.13427,0.79286,0.68039,0.75238,0.45978,1.42539,0.89381,1.15478,0.008911,0.008911,0.008911
35,1991,1.42336,0.91626,1.12264,0.80129,0.67833,0.75852,0.4832,1.33468,0.84692,1.12019,0.008878,0.008878,0.008878
36,2047.37,1.42414,0.91723,1.12919,0.78065,0.68545,0.75911,0.48012,1.34443,0.86658,1.12279,0.008845,0.008845,0.008845
37,2103.71,1.42073,0.90662,1.12597,0.77479,0.69272,0.76273,0.47928,1.36199,0.84641,1.12298,0.008812,0.008812,0.008812
38,2159.94,1.41809,0.90061,1.12239,0.81683,0.69953,0.77863,0.4896,1.39651,0.83915,1.13329,0.008779,0.008779,0.008779
39,2216.47,1.41223,0.90195,1.12462,0.77861,0.71172,0.77488,0.48993,1.35965,0.85331,1.11842,0.008746,0.008746,0.008746
40,2272.62,1.40191,0.90256,1.12494,0.7838,0.69583,0.77436,0.4829,1.39306,0.83956,1.13914,0.008713,0.008713,0.008713
41,2328.4,1.39873,0.89002,1.11771,0.82009,0.6978,0.77667,0.49,1.35592,0.82153,1.11465,0.00868,0.00868,0.00868
42,2384.85,1.40033,0.88967,1.11894,0.79303,0.69522,0.77687,0.48973,1.35924,0.83308,1.11896,0.008647,0.008647,0.008647
43,2441.73,1.40206,0.8816,1.11493,0.80516,0.69512,0.77543,0.48009,1.38995,0.85012,1.12865,0.008614,0.008614,0.008614
44,2498.28,1.38172,0.86854,1.11311,0.78914,0.69664,0.76696,0.48353,1.33904,0.83936,1.11406,0.008581,0.008581,0.008581
45,2554.35,1.37675,0.87192,1.10909,0.78521,0.70727,0.7738,0.49679,1.31769,0.81432,1.10464,0.008548,0.008548,0.008548
46,2610.59,1.38742,0.87184,1.10813,0.81757,0.71569,0.79158,0.49698,1.35326,0.82379,1.11624,0.008515,0.008515,0.008515
47,2666.67,1.37033,0.85677,1.10324,0.84731,0.70478,0.7962,0.50834,1.33578,0.78811,1.1066,0.008482,0.008482,0.008482
48,2723.1,1.38137,0.8618,1.10958,0.81491,0.70703,0.78762,0.51165,1.29444,0.78802,1.09483,0.008449,0.008449,0.008449
49,2779.08,1.37507,0.86184,1.10947,0.79262,0.72956,0.79235,0.51229,1.30352,0.78463,1.09888,0.008416,0.008416,0.008416
50,2835.09,1.37198,0.85669,1.10018,0.82842,0.70833,0.79009,0.50985,1.29739,0.78991,1.09621,0.008383,0.008383,0.008383
51,2891.49,1.36997,0.85762,1.10746,0.81558,0.70812,0.78238,0.51104,1.27759,0.79141,1.08897,0.00835,0.00835,0.00835
52,2947.34,1.36138,0.85011,1.09725,0.83023,0.69862,0.79056,0.51473,1.28726,0.79067,1.09083,0.008317,0.008317,0.008317
53,3003.77,1.35499,0.84443,1.09659,0.82529,0.71887,0.79414,0.51587,1.26987,0.78431,1.08579,0.008284,0.008284,0.008284
54,3060.48,1.35701,0.84104,1.09184,0.83666,0.72421,0.79909,0.51949,1.29665,0.76808,1.09068,0.008251,0.008251,0.008251
55,3117.05,1.35704,0.84564,1.09739,0.82615,0.72076,0.79874,0.52058,1.28625,0.76212,1.08488,0.008218,0.008218,0.008218
56,3173.36,1.34769,0.83773,1.0971,0.83193,0.73758,0.80744,0.52469,1.2853,0.76964,1.08481,0.008185,0.008185,0.008185
57,3230.6,1.35759,0.83895,1.09215,0.80928,0.72978,0.80362,0.52968,1.26546,0.75371,1.08227,0.008152,0.008152,0.008152
58,3287.06,1.34586,0.83311,1.09331,0.81242,0.73233,0.80344,0.52498,1.26199,0.76006,1.07963,0.008119,0.008119,0.008119
59,3343.94,1.33331,0.82785,1.09068,0.82079,0.72738,0.80289,0.5264,1.27223,0.76011,1.07884,0.008086,0.008086,0.008086
60,3400.13,1.34014,0.82051,1.09137,0.80564,0.73046,0.8034,0.52952,1.26434,0.76439,1.07473,0.008053,0.008053,0.008053
61,3456.66,1.33113,0.816,1.08701,0.80766,0.733,0.80827,0.53296,1.2735,0.75289,1.07426,0.00802,0.00802,0.00802
62,3513.19,1.32682,0.81551,1.0841,0.82966,0.73026,0.80912,0.53486,1.23775,0.74221,1.06647,0.007987,0.007987,0.007987
63,3570.05,1.33301,0.81411,1.07963,0.81652,0.74483,0.81265,0.52413,1.31338,0.74837,1.09322,0.007954,0.007954,0.007954
64,3626.05,1.33983,0.82079,1.08857,0.82047,0.73077,0.81053,0.53109,1.26494,0.74194,1.0724,0.007921,0.007921,0.007921
65,3682.69,1.32241,0.81371,1.08412,0.81394,0.73709,0.81025,0.53627,1.26319,0.74016,1.08163,0.007888,0.007888,0.007888
66,3739.19,1.33107,0.8201,1.08493,0.8048,0.72886,0.80778,0.53324,1.26118,0.73899,1.07754,0.007855,0.007855,0.007855
67,3795.54,1.32703,0.81634,1.08237,0.80814,0.75081,0.81873,0.5429,1.24282,0.72847,1.06752,0.007822,0.007822,0.007822
68,3851.16,1.31746,0.80398,1.07715,0.82094,0.73768,0.81234,0.54196,1.23565,0.73326,1.06671,0.007789,0.007789,0.007789
69,3907.49,1.32601,0.80929,1.07858,0.82625,0.74804,0.81856,0.52402,1.29276,0.73518,1.08779,0.007756,0.007756,0.007756
70,3963.44,1.31671,0.80368,1.07676,0.82542,0.75045,0.81918,0.54268,1.23236,0.72608,1.06521,0.007723,0.007723,0.007723
71,4019.4,1.32586,0.80349,1.08221,0.83507,0.72999,0.81922,0.54774,1.22067,0.71836,1.06102,0.00769,0.00769,0.00769
72,4075.26,1.30867,0.79998,1.07104,0.8354,0.7557,0.82326,0.5472,1.2311,0.72318,1.06236,0.007657,0.007657,0.007657
73,4131.47,1.3164,0.7956,1.07355,0.82622,0.7586,0.8228,0.5428,1.23513,0.72185,1.07025,0.007624,0.007624,0.007624
74,4187.58,1.31602,0.79387,1.07909,0.84585,0.74442,0.82342,0.53968,1.2835,0.71788,1.07891,0.007591,0.007591,0.007591
75,4243.48,1.31673,0.79355,1.07901,0.81999,0.76521,0.82059,0.54081,1.23805,0.72044,1.06161,0.007558,0.007558,0.007558
76,4299.75,1.30942,0.79135,1.07294,0.82857,0.75708,0.82341,0.55197,1.208,0.71039,1.05673,0.007525,0.007525,0.007525
77,4356.24,1.32405,0.80197,1.08465,0.82857,0.74297,0.81986,0.54138,1.22981,0.72419,1.0572,0.007492,0.007492,0.007492
78,4412.72,1.29972,0.79071,1.07138,0.80937,0.76001,0.82018,0.5486,1.22222,0.71263,1.05553,0.007459,0.007459,0.007459
79,4468.59,1.31136,0.79413,1.07274,0.81089,0.76119,0.82643,0.54705,1.23727,0.71417,1.06703,0.007426,0.007426,0.007426
80,4524.9,1.29618,0.78422,1.07185,0.8218,0.75657,0.82209,0.54751,1.22175,0.71834,1.05314,0.007393,0.007393,0.007393
81,4580.78,1.29455,0.78126,1.07055,0.82411,0.75106,0.82389,0.54782,1.21563,0.70429,1.05255,0.00736,0.00736,0.00736
82,4636.66,1.3013,0.78391,1.06654,0.83361,0.75523,0.82647,0.548,1.20605,0.70147,1.05044,0.007327,0.007327,0.007327
83,4692.14,1.2975,0.78946,1.06572,0.85559,0.73968,0.82436,0.55163,1.19704,0.70216,1.04843,0.007294,0.007294,0.007294
84,4749.03,1.27699,0.77221,1.0607,0.81668,0.76487,0.82562,0.54859,1.21587,0.71339,1.05393,0.007261,0.007261,0.007261
85,4805.68,1.29568,0.78035,1.06727,0.8381,0.7554,0.82627,0.5598,1.21169,0.69602,1.0526,0.007228,0.007228,0.007228
86,4862.2,1.29324,0.77582,1.06617,0.83549,0.7691,0.8333,0.558,1.21411,0.6962,1.05472,0.007195,0.007195,0.007195
87,4919.13,1.28408,0.77357,1.06471,0.84581,0.7475,0.82734,0.55489,1.19908,0.69914,1.04723,0.007162,0.007162,0.007162
88,4975.33,1.28916,0.77442,1.0671,0.83653,0.75134,0.82892,0.55729,1.19304,0.69768,1.04585,0.007129,0.007129,0.007129
89,5033,1.28557,0.76942,1.06659,0.82979,0.75741,0.83224,0.56115,1.18978,0.69162,1.04662,0.007096,0.007096,0.007096
90,5090.01,1.27938,0.77248,1.06193,0.81982,0.75769,0.8307,0.55881,1.19904,0.6951,1.04895,0.007063,0.007063,0.007063
91,5147.04,1.27719,0.76757,1.06179,0.8486,0.74968,0.83568,0.56154,1.20353,0.694,1.04879,0.00703,0.00703,0.00703
