epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.317,1.7039,3.04494,1.17905,0.91719,0.22137,0.42085,0.25912,1.50867,2.89909,1.11247,0.00328502,0.00328502,0.00328502
2,122.013,1.5796,1.38829,1.15656,0.76907,0.58733,0.65555,0.3187,1.84924,1.29622,1.2703,0.00659652,0.00659652,0.00659652
3,181.303,1.55078,1.25863,1.13247,0.66631,0.42296,0.48582,0.24382,1.73618,3.38745,1.28955,0.00988601,0.00988601,0.00988601
4,240.408,1.54754,1.20412,1.13005,0.62681,0.52994,0.57024,0.31503,1.54839,1.97196,1.20217,0.009901,0.009901,0.009901
5,299.402,1.50216,1.13371,1.12081,0.65107,0.57895,0.59936,0.35725,1.42254,1.17396,1.12093,0.009868,0.009868,0.009868
6,358.842,1.48782,1.08318,1.11083,0.64696,0.58798,0.62822,0.37644,1.48509,1.23876,1.13215,0.009835,0.009835,0.009835
7,418.506,1.45521,1.02399,1.10241,0.70449,0.60213,0.66653,0.41173,1.39434,1.1027,1.117,0.009802,0.009802,0.009802
8,477.663,1.46053,1.00186,1.10032,0.67474,0.6215,0.67015,0.41578,1.37283,1.10078,1.11002,0.009769,0.009769,0.009769
9,536.727,1.42352,0.95963,1.09028,0.76961,0.64082,0.71218,0.42914,1.43409,0.94734,1.11019,0.009736,0.009736,0.009736
10,595.896,1.40172,0.93648,1.08203,0.7579,0.67829,0.74028,0.45318,1.41313,0.94675,1.1025,0.009703,0.009703,0.009703
11,654.917,1.38915,0.91347,1.07313,0.7844,0.67477,0.73852,0.47731,1.3011,0.90586,1.07133,0.00967,0.00967,0.00967
12,714.572,1.37797,0.89872,1.07506,0.76156,0.66952,0.72841,0.44652,1.33908,1.1054,1.09809,0.009637,0.009637,0.009637
13,773.925,1.36485,0.87899,1.0727,0.80377,0.68327,0.75404,0.47907,1.31127,0.89272,1.07182,0.009604,0.009604,0.009604
14,833.037,1.36606,0.87187,1.07092,0.80084,0.68912,0.76612,0.49893,1.30597,0.83891,1.0635,0.009571,0.009571,0.009571
15,891.261,1.35186,0.84874,1.06333,0.82111,0.66475,0.75457,0.48187,1.32217,0.88481,1.07998,0.009538,0.009538,0.009538
16,949.998,1.34551,0.84432,1.05754,0.78971,0.71032,0.76804,0.507,1.24852,0.79291,1.04876,0.009505,0.009505,0.009505
17,1009.02,1.33835,0.83423,1.05876,0.80601,0.71318,0.79136,0.52129,1.26317,0.78408,1.04482,0.009472,0.009472,0.009472
18,1067.85,1.32056,0.82712,1.05052,0.79105,0.70252,0.78329,0.51838,1.23173,0.77957,1.0454,0.009439,0.009439,0.009439
19,1127.86,1.32537,0.81993,1.05296,0.81633,0.72447,0.79485,0.49925,1.37839,0.8074,1.0766,0.009406,0.009406,0.009406
20,1186.93,1.31186,0.81529,1.05187,0.81319,0.72574,0.7946,0.5152,1.28811,0.83707,1.05379,0.009373,0.009373,0.009373
21,1245.72,1.30874,0.79516,1.04337,0.82813,0.71823,0.80061,0.52995,1.27119,0.75837,1.05607,0.00934,0.00934,0.00934
22,1304.93,1.29449,0.7965,1.04564,0.80611,0.72054,0.79013,0.49623,1.34894,0.7952,1.07738,0.009307,0.009307,0.009307
23,1363.89,1.29777,0.78945,1.04287,0.78082,0.69333,0.77297,0.51657,1.23575,0.81723,1.04351,0.009274,0.009274,0.009274
24,1422.81,1.29401,0.7802,1.04137,0.80768,0.7226,0.80339,0.52345,1.24364,0.80475,1.03819,0.009241,0.009241,0.009241
25,1481.65,1.28266,0.77466,1.03775,0.83542,0.73059,0.81162,0.54797,1.21597,0.7539,1.03224,0.009208,0.009208,0.009208
26,1539.87,1.2782,0.77267,1.03461,0.84723,0.73081,0.8152,0.53888,1.22744,0.73743,1.03973,0.009175,0.009175,0.009175
27,1599.06,1.27752,0.76626,1.03436,0.81286,0.72949,0.79933,0.51493,1.28989,0.75912,1.05877,0.009142,0.009142,0.009142
28,1658.53,1.28265,0.77155,1.04114,0.79134,0.74493,0.80405,0.52823,1.26606,0.75037,1.06357,0.009109,0.009109,0.009109
29,1717.06,1.27014,0.75141,1.03014,0.80534,0.75401,0.81872,0.55256,1.18812,0.72907,1.02137,0.009076,0.009076,0.009076
30,1775.8,1.27032,0.76052,1.03569,0.80194,0.73619,0.80837,0.54042,1.24161,0.72631,1.03464,0.009043,0.009043,0.009043
31,1834.33,1.27708,0.76003,1.03767,0.81573,0.74952,0.81549,0.55066,1.19081,0.70839,1.02552,0.00901,0.00901,0.00901
32,1892.58,1.25375,0.7414,1.03042,0.8265,0.75786,0.82115,0.55716,1.19669,0.72877,1.02298,0.008977,0.008977,0.008977
33,1951.63,1.25168,0.74364,1.02698,0.85257,0.73569,0.82849,0.54835,1.26595,0.70762,1.04678,0.008944,0.008944,0.008944
34,2010.74,1.24573,0.74208,1.02863,0.83784,0.75012,0.82189,0.53478,1.28371,0.71873,1.04748,0.008911,0.008911,0.008911
35,2069.79,1.24658,0.73853,1.021,0.81981,0.77131,0.83309,0.56539,1.19751,0.70295,1.02513,0.008878,0.008878,0.008878
36,2128.64,1.24248,0.73593,1.02428,0.85325,0.76194,0.83775,0.56722,1.18896,0.68599,1.01813,0.008845,0.008845,0.008845
37,2187.02,1.24271,0.72869,1.02425,0.82837,0.7801,0.83677,0.54532,1.26399,0.69761,1.04237,0.008812,0.008812,0.008812
38,2246.08,1.23843,0.72465,1.02001,0.83374,0.74439,0.82593,0.56069,1.17237,0.70352,1.01832,0.008779,0.008779,0.008779
39,2305.16,1.24101,0.72787,1.02412,0.80953,0.75728,0.82685,0.56471,1.18823,0.69395,1.0199,0.008746,0.008746,0.008746
40,2364.23,1.22876,0.72876,1.02409,0.81018,0.75697,0.82647,0.55099,1.20969,0.69057,1.02869,0.008713,0.008713,0.008713
41,2423.12,1.23056,0.72282,1.02016,0.83722,0.7808,0.83554,0.56159,1.18457,0.66872,1.0109,0.00868,0.00868,0.00868
42,2481.65,1.22997,0.72236,1.01869,0.81711,0.76373,0.83401,0.56317,1.18589,0.6875,1.00661,0.008647,0.008647,0.008647
43,2541.09,1.23108,0.71525,1.01844,0.85079,0.75757,0.83871,0.56241,1.21933,0.68028,1.02599,0.008614,0.008614,0.008614
44,2600.63,1.21995,0.71078,1.01871,0.81794,0.78198,0.83546,0.56928,1.17443,0.66687,1.01429,0.008581,0.008581,0.008581
45,2659.34,1.20972,0.71169,1.01322,0.83723,0.76024,0.83239,0.57083,1.19472,0.67389,1.03072,0.008548,0.008548,0.008548
46,2718.12,1.22382,0.71154,1.01519,0.83422,0.7634,0.83832,0.5716,1.17412,0.66596,1.01308,0.008515,0.008515,0.008515
47,2776.86,1.20849,0.70313,1.01153,0.8505,0.7741,0.84505,0.58223,1.15017,0.65074,1.00371,0.008482,0.008482,0.008482
48,2835.02,1.22074,0.70552,1.01543,0.86246,0.75718,0.84103,0.55492,1.25351,0.68755,1.04704,0.008449,0.008449,0.008449
49,2893.71,1.21559,0.70677,1.01771,0.82643,0.75811,0.83691,0.56335,1.19825,0.6891,1.01953,0.008416,0.008416,0.008416
50,2953.28,1.20961,0.70569,1.00832,0.83341,0.7697,0.83656,0.56339,1.21717,0.67355,1.02962,0.008383,0.008383,0.008383
51,3011.95,1.20988,0.70426,1.01688,0.82942,0.77469,0.83579,0.57438,1.17895,0.65533,1.00714,0.00835,0.00835,0.00835
52,3070.59,1.20765,0.6967,1.01008,0.84058,0.77734,0.84374,0.57952,1.16973,0.65257,1.00582,0.008317,0.008317,0.008317
53,3128.88,1.20021,0.6967,1.00778,0.85204,0.76799,0.84241,0.57023,1.18621,0.66296,1.01914,0.008284,0.008284,0.008284
54,3188.05,1.20069,0.69461,1.00383,0.83872,0.76503,0.83336,0.56635,1.19744,0.6721,1.01913,0.008251,0.008251,0.008251
55,3247.06,1.19675,0.69508,1.00692,0.85163,0.78221,0.84974,0.57542,1.17889,0.65453,1.01209,0.008218,0.008218,0.008218
56,3306.32,1.19015,0.68924,1.00962,0.85441,0.75395,0.84253,0.58448,1.14181,0.66271,0.99726,0.008185,0.008185,0.008185
57,3365.75,1.2012,0.69105,1.00698,0.8579,0.77089,0.84373,0.59062,1.11614,0.63383,0.98975,0.008152,0.008152,0.008152
58,3424.61,1.18847,0.68744,1.00832,0.84424,0.77747,0.84621,0.57741,1.18314,0.65714,1.00761,0.008119,0.008119,0.008119
