epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3147,3.53839,6.28036,2.29293,0.01092,0.46866,0.15198,0.09907,3.20014,7.43993,2.18202,0.00328502,0.00328502,0.00328502
2,116.606,3.33395,3.59001,2.29889,0.58166,0.37553,0.4201,0.20291,4.03827,3.55664,2.75053,0.00659652,0.00659652,0.00659652
3,173.213,3.35135,3.24789,2.32001,0.34386,0.4873,0.39705,0.22425,3.20321,6.97864,2.40781,0.00988601,0.00988601,0.00988601
4,230.289,3.36525,2.97622,2.32789,0.34602,0.33364,0.29372,0.15974,3.40457,3.98242,2.59305,0.009901,0.009901,0.009901
5,286.78,3.29174,2.67934,2.32622,0.5161,0.41641,0.4321,0.20342,3.74536,3.49414,2.76081,0.009868,0.009868,0.009868
6,343.875,3.24772,2.50246,2.29933,0.54035,0.4737,0.49998,0.288,3.17807,3.32785,2.40723,0.009835,0.009835,0.009835
7,400.956,3.18304,2.34499,2.27605,0.667,0.57806,0.64043,0.39446,2.94346,2.21341,2.29598,0.009802,0.009802,0.009802
8,458.48,3.18193,2.26395,2.26476,0.70354,0.54658,0.62523,0.38036,3.10046,2.43239,2.35829,0.009769,0.009769,0.009769
9,514.94,3.12117,2.1569,2.25696,0.69994,0.58983,0.65103,0.38873,3.12487,2.12856,2.32666,0.009736,0.009736,0.009736
10,571.823,3.07253,2.09676,2.22955,0.71009,0.60677,0.68442,0.39747,3.08481,2.0531,2.31625,0.009703,0.009703,0.009703
11,628.797,3.05843,2.04866,2.20472,0.7262,0.60576,0.68514,0.43376,2.90485,1.94665,2.26244,0.00967,0.00967,0.00967
12,685.727,3.01629,1.99446,2.2024,0.69547,0.597,0.64514,0.3841,3.14394,2.3144,2.31837,0.009637,0.009637,0.009637
13,742.171,2.98887,1.96476,2.19693,0.73232,0.62086,0.68729,0.42473,2.963,2.20809,2.26828,0.009604,0.009604,0.009604
14,798.523,2.99732,1.93961,2.19888,0.73745,0.67061,0.73582,0.45506,2.83215,1.7918,2.23427,0.009571,0.009571,0.009571
15,854.703,2.95386,1.88937,2.17694,0.76494,0.66989,0.73833,0.4479,3.02683,1.81517,2.27085,0.009538,0.009538,0.009538
16,910.613,2.96438,1.86768,2.16237,0.75364,0.67219,0.74233,0.48219,2.722,1.72567,2.17995,0.009505,0.009505,0.009505
17,966.507,2.94541,1.85444,2.17316,0.73321,0.68867,0.74859,0.47511,2.77474,1.74402,2.17806,0.009472,0.009472,0.009472
18,1021.77,2.90536,1.81461,2.15506,0.75477,0.6713,0.74227,0.47161,2.83358,1.70469,2.21254,0.009439,0.009439,0.009439
19,1078.55,2.91329,1.81786,2.15631,0.78089,0.68898,0.77085,0.50847,2.70119,1.68697,2.16673,0.009406,0.009406,0.009406
20,1134.67,2.8793,1.78864,2.15446,0.77756,0.67267,0.7636,0.47072,2.93898,1.78575,2.24494,0.009373,0.009373,0.009373
21,1191.36,2.88499,1.76069,2.13284,0.79023,0.66829,0.76486,0.48988,2.78341,1.69002,2.19157,0.00934,0.00934,0.00934
22,1248.36,2.84868,1.75042,2.14375,0.79222,0.68151,0.77141,0.4702,3.05978,1.71819,2.28908,0.009307,0.009307,0.009307
23,1305.22,2.84783,1.72899,2.13644,0.80719,0.70832,0.78696,0.52555,2.62869,1.55858,2.12436,0.009274,0.009274,0.009274
24,1361.37,2.84346,1.70062,2.13304,0.79609,0.71786,0.79068,0.49488,2.91636,1.6479,2.21932,0.009241,0.009241,0.009241
25,1418.42,2.8267,1.7011,2.12393,0.77308,0.73291,0.7952,0.52094,2.71602,1.73904,2.15618,0.009208,0.009208,0.009208
26,1475.01,2.81941,1.68899,2.11949,0.81656,0.70147,0.79235,0.52076,2.72041,1.57802,2.16186,0.009175,0.009175,0.009175
27,1532.03,2.8116,1.67985,2.12219,0.79453,0.71706,0.80032,0.53666,2.58239,1.67518,2.10244,0.009142,0.009142,0.009142
28,1588.66,2.81802,1.68443,2.12463,0.80491,0.71369,0.79659,0.52479,2.69371,1.55458,2.15083,0.009109,0.009109,0.009109
29,1645.31,2.81646,1.65108,2.11142,0.8009,0.75015,0.8101,0.51411,2.84287,1.55998,2.1811,0.009076,0.009076,0.009076
30,1701.88,2.792,1.67094,2.11717,0.83108,0.72937,0.81119,0.51913,2.91339,1.54583,2.21149,0.009043,0.009043,0.009043
31,1758.62,2.80786,1.65844,2.12076,0.81169,0.74518,0.80936,0.51857,2.85151,1.5305,2.18683,0.00901,0.00901,0.00901
32,1814.83,2.75706,1.61868,2.10862,0.81598,0.75196,0.82198,0.5422,2.67225,1.52079,2.14071,0.008977,0.008977,0.008977
33,1871.68,2.75328,1.6255,2.10109,0.83778,0.73353,0.81504,0.53166,2.69009,1.53696,2.14066,0.008944,0.008944,0.008944
34,1928.1,2.73939,1.62441,2.10161,0.80424,0.7506,0.81853,0.51947,2.88916,1.52958,2.20976,0.008911,0.008911,0.008911
35,1985,2.75229,1.60955,2.08805,0.79451,0.72821,0.80294,0.53617,2.5715,1.5072,2.08877,0.008878,0.008878,0.008878
36,2040.66,2.75168,1.60723,2.09614,0.82503,0.73675,0.82349,0.5448,2.56848,1.48794,2.10063,0.008845,0.008845,0.008845
37,2097.25,2.73838,1.58487,2.09611,0.81619,0.74279,0.81799,0.5513,2.56057,1.42294,2.07895,0.008812,0.008812,0.008812
38,2154.23,2.73296,1.58528,2.08376,0.83033,0.76604,0.83115,0.55711,2.53521,1.43015,2.07455,0.008779,0.008779,0.008779
39,2211.09,2.73112,1.58409,2.09173,0.8309,0.74039,0.81298,0.51306,2.92367,1.55388,2.19819,0.008746,0.008746,0.008746
40,2267.33,2.70824,1.58049,2.0891,0.82429,0.73261,0.81641,0.54883,2.55023,1.48097,2.07852,0.008713,0.008713,0.008713
41,2324.36,2.71493,1.57107,2.07982,0.82339,0.75324,0.82088,0.53781,2.72062,1.53485,2.12301,0.00868,0.00868,0.00868
42,2380.9,2.70923,1.56205,2.07773,0.82383,0.7398,0.82342,0.54541,2.57971,1.4669,2.0906,0.008647,0.008647,0.008647
43,2438.16,2.71772,1.55584,2.07404,0.81031,0.76277,0.82653,0.55924,2.57239,1.41025,2.1049,0.008614,0.008614,0.008614
44,2495.03,2.69636,1.53585,2.08309,0.80837,0.75413,0.82522,0.56452,2.47277,1.4098,2.04771,0.008581,0.008581,0.008581
45,2551.86,2.67686,1.54349,2.06962,0.82687,0.77408,0.83476,0.56157,2.60077,1.39789,2.0915,0.008548,0.008548,0.008548
46,2608.77,2.69662,1.54757,2.06979,0.81721,0.76589,0.83675,0.55939,2.60957,1.39456,2.08032,0.008515,0.008515,0.008515
47,2665.59,2.67555,1.52764,2.05756,0.84017,0.75245,0.83829,0.56547,2.55636,1.36274,2.08,0.008482,0.008482,0.008482
48,2722.12,2.68929,1.51968,2.06781,0.8475,0.7484,0.83336,0.56474,2.55309,1.38077,2.07978,0.008449,0.008449,0.008449
49,2778.35,2.67407,1.52422,2.0728,0.83668,0.7618,0.8396,0.55538,2.61492,1.36457,2.11098,0.008416,0.008416,0.008416
50,2834.75,2.66859,1.51327,2.05786,0.8411,0.74934,0.83932,0.5691,2.49439,1.34988,2.05231,0.008383,0.008383,0.008383
51,2891.49,2.65599,1.52124,2.06923,0.81826,0.76476,0.83248,0.57162,2.45045,1.39319,2.04183,0.00835,0.00835,0.00835
52,2947.67,2.66561,1.51053,2.05455,0.80924,0.78106,0.84185,0.57586,2.4997,1.3561,2.05647,0.008317,0.008317,0.008317
53,3004.86,2.65263,1.50131,2.05608,0.8236,0.76303,0.83532,0.57044,2.52878,1.34769,2.05338,0.008284,0.008284,0.008284
54,3061.64,2.65415,1.49791,2.04007,0.82264,0.76643,0.84283,0.57747,2.51758,1.35195,2.05096,0.008251,0.008251,0.008251
55,3118.59,2.65301,1.50121,2.0549,0.81873,0.76786,0.84211,0.57502,2.49405,1.35717,2.04743,0.008218,0.008218,0.008218
56,3175.2,2.62366,1.47877,2.05455,0.82136,0.75706,0.83693,0.56869,2.50196,1.3451,2.04496,0.008185,0.008185,0.008185
57,3231.62,2.66586,1.50152,2.04244,0.83926,0.77215,0.84312,0.5745,2.4999,1.33245,2.04288,0.008152,0.008152,0.008152
58,3288.64,2.62946,1.49162,2.05251,0.83031,0.77418,0.8412,0.56407,2.54897,1.36782,2.05565,0.008119,0.008119,0.008119
59,3345.61,2.60893,1.46499,2.04068,0.82619,0.76102,0.83666,0.56892,2.5274,1.34369,2.05819,0.008086,0.008086,0.008086
60,3402.86,2.61594,1.46261,2.04757,0.83007,0.76866,0.8457,0.58099,2.45222,1.32331,2.02786,0.008053,0.008053,0.008053
61,3459.74,2.612,1.46147,2.03358,0.82279,0.76993,0.84046,0.57547,2.48522,1.38261,2.04307,0.00802,0.00802,0.00802
62,3519.38,2.60072,1.44436,2.03817,0.83158,0.77857,0.85162,0.58677,2.48196,1.33229,2.04555,0.007987,0.007987,0.007987
63,3577.99,2.61004,1.45635,2.02667,0.82919,0.77252,0.84395,0.5745,2.54617,1.36387,2.0537,0.007954,0.007954,0.007954
64,3636.07,2.62515,1.46479,2.04066,0.84784,0.7777,0.84708,0.58588,2.45524,1.30296,2.02591,0.007921,0.007921,0.007921
65,3692.34,2.58072,1.44485,2.03295,0.82995,0.77374,0.84702,0.57218,2.53386,1.29691,2.05685,0.007888,0.007888,0.007888
66,3748.89,2.61292,1.46934,2.03292,0.82969,0.78502,0.84924,0.58784,2.46744,1.30824,2.04412,0.007855,0.007855,0.007855
67,3806.91,2.60585,1.45927,2.03299,0.83267,0.78402,0.85179,0.5816,2.50426,1.31923,2.04613,0.007822,0.007822,0.007822
68,3863.88,2.59532,1.44472,2.02545,0.85754,0.75606,0.85241,0.59352,2.4435,1.29989,2.02397,0.007789,0.007789,0.007789
69,3922.49,2.61234,1.44949,2.02703,0.85233,0.77033,0.8529,0.59203,2.4491,1.31144,2.03509,0.007756,0.007756,0.007756
70,3979.86,2.57933,1.43124,2.02365,0.85964,0.76847,0.85101,0.58783,2.46787,1.30039,2.03981,0.007723,0.007723,0.007723
71,4038.15,2.58657,1.43502,2.02636,0.85359,0.7842,0.85787,0.59256,2.46514,1.28973,2.03558,0.00769,0.00769,0.00769
72,4096.05,2.57105,1.42677,2.01727,0.82867,0.77792,0.85149,0.58945,2.44147,1.32102,2.02835,0.007657,0.007657,0.007657
73,4153.84,2.5869,1.42562,2.01944,0.83494,0.77987,0.85284,0.58613,2.49056,1.29932,2.04348,0.007624,0.007624,0.007624
74,4211.45,2.59105,1.42679,2.03144,0.79893,0.79241,0.84728,0.58656,2.45415,1.28178,2.02554,0.007591,0.007591,0.007591
75,4268.65,2.59078,1.42498,2.02697,0.83636,0.77073,0.85057,0.58967,2.43663,1.30704,2.01456,0.007558,0.007558,0.007558
76,4326.3,2.57184,1.41377,2.01944,0.83278,0.77597,0.8497,0.5954,2.42436,1.26931,2.01293,0.007525,0.007525,0.007525
77,4383.79,2.59862,1.43401,2.0371,0.85205,0.75566,0.84997,0.5792,2.50058,1.32393,2.03669,0.007492,0.007492,0.007492
78,4441.93,2.56816,1.41748,2.02024,0.83917,0.78981,0.86454,0.6038,2.43361,1.26149,2.00831,0.007459,0.007459,0.007459
79,4499.75,2.57431,1.42846,2.0149,0.84837,0.78692,0.8595,0.58691,2.47872,1.27347,2.02644,0.007426,0.007426,0.007426
80,4557.35,2.55002,1.40878,2.01587,0.85248,0.78593,0.86096,0.5963,2.44102,1.25463,2.01869,0.007393,0.007393,0.007393
81,4614.93,2.54171,1.39276,2.0186,0.86422,0.78169,0.86235,0.60492,2.39393,1.24918,2.00439,0.00736,0.00736,0.00736
82,4672.58,2.55641,1.40438,2.00819,0.8833,0.76928,0.86595,0.60776,2.39481,1.24263,2.00159,0.007327,0.007327,0.007327
83,4730.1,2.55326,1.42449,2.00069,0.83833,0.78144,0.85936,0.59937,2.40627,1.26638,2.00699,0.007294,0.007294,0.007294
84,4787.73,2.51469,1.38669,1.9981,0.83225,0.78862,0.86171,0.59572,2.45479,1.2752,2.02548,0.007261,0.007261,0.007261
85,4845.54,2.5567,1.40661,2.01052,0.84416,0.79263,0.8627,0.59827,2.42342,1.242,2.01876,0.007228,0.007228,0.007228
86,4903.64,2.54012,1.38775,2.01393,0.81891,0.80147,0.86179,0.59686,2.43984,1.26249,2.03396,0.007195,0.007195,0.007195
87,4962.37,2.53452,1.39054,2.00631,0.83521,0.80584,0.86264,0.60417,2.39526,1.24637,2.00655,0.007162,0.007162,0.007162
88,5019.77,2.53864,1.38471,2.00817,0.86913,0.77471,0.86391,0.60807,2.41242,1.23987,2.00632,0.007129,0.007129,0.007129
89,5077.33,2.54528,1.38761,2.0075,0.83992,0.80481,0.86636,0.6035,2.40085,1.23451,2.00753,0.007096,0.007096,0.007096
90,5135.2,2.53158,1.38935,2.00392,0.84131,0.79704,0.86045,0.60206,2.40401,1.23925,2.01293,0.007063,0.007063,0.007063
91,5192.86,2.52743,1.37964,2.00499,0.81967,0.80601,0.86267,0.60743,2.38063,1.23535,1.99929,0.00703,0.00703,0.00703
92,5250.49,2.5196,1.38212,2.00416,0.86311,0.78224,0.86352,0.60625,2.38805,1.236,2.0058,0.006997,0.006997,0.006997
93,5307.31,2.52056,1.38657,1.99644,0.85391,0.79414,0.86748,0.60626,2.41503,1.23152,2.00366,0.006964,0.006964,0.006964
94,5364.69,2.53828,1.39417,1.99755,0.8252,0.80784,0.85975,0.60245,2.39118,1.23929,2.00576,0.006931,0.006931,0.006931
95,5422.24,2.53411,1.36231,2.00879,0.82477,0.81315,0.86037,0.60504,2.35601,1.23062,1.99099,0.006898,0.006898,0.006898
96,5480.21,2.51687,1.36516,1.99996,0.83153,0.80695,0.8669,0.60638,2.39172,1.22933,2.00586,0.006865,0.006865,0.006865
97,5537.75,2.49085,1.34836,1.98919,0.85543,0.7887,0.86396,0.60415,2.42077,1.23822,2.00966,0.006832,0.006832,0.006832
98,5595.02,2.53553,1.38495,1.99253,0.86078,0.78113,0.86134,0.60878,2.35584,1.23412,1.99058,0.006799,0.006799,0.006799
99,5652.62,2.51124,1.37005,1.99871,0.85803,0.79724,0.86572,0.61008,2.37561,1.2296,1.99631,0.006766,0.006766,0.006766
100,5710.73,2.50115,1.35245,1.98822,0.86261,0.78733,0.86378,0.61182,2.35167,1.23314,1.9942,0.006733,0.006733,0.006733
101,5768.89,2.52724,1.37841,1.99898,0.84822,0.79556,0.86406,0.60507,2.41576,1.23444,2.00609,0.0067,0.0067,0.0067
102,5826.38,2.51931,1.37272,1.99418,0.8382,0.7936,0.86028,0.61308,2.34188,1.22879,1.98175,0.006667,0.006667,0.006667
103,5884.37,2.49776,1.36455,1.99618,0.86343,0.79502,0.86732,0.6183,2.31965,1.21408,1.97365,0.006634,0.006634,0.006634
104,5942.61,2.48909,1.35927,1.98342,0.84594,0.80024,0.86636,0.61451,2.31489,1.21151,1.97329,0.006601,0.006601,0.006601
105,6001.08,2.5006,1.36003,2.00162,0.86026,0.78985,0.86889,0.61392,2.34682,1.21919,1.98748,0.006568,0.006568,0.006568
106,6058.72,2.47981,1.33392,1.98804,0.85226,0.79515,0.86719,0.61507,2.32631,1.20995,1.98157,0.006535,0.006535,0.006535
107,6115.91,2.47823,1.34649,1.98196,0.85075,0.798,0.86961,0.61534,2.33609,1.20438,1.98159,0.006502,0.006502,0.006502
108,6173.98,2.47573,1.35143,1.98904,0.85866,0.79588,0.86512,0.61431,2.33458,1.20909,1.98306,0.006469,0.006469,0.006469
