epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.2577,1.73846,2.61166,1.19551,0.9902,0.10432,0.39889,0.23408,1.66613,2.94604,1.11564,0.00328502,0.00328502,0.00328502
2,116.762,1.59063,1.41175,1.13046,0.72754,0.5466,0.61213,0.2911,1.91288,1.54467,1.24268,0.00659652,0.00659652,0.00659652
3,173.868,1.54965,1.26191,1.12285,0.70016,0.58707,0.6492,0.3658,1.51597,1.24909,1.13539,0.00988601,0.00988601,0.00988601
4,231.424,1.54639,1.20578,1.12035,0.72452,0.61795,0.65295,0.375,1.50908,1.10565,1.14325,0.009901,0.009901,0.009901
5,288.267,1.50863,1.13151,1.11164,0.72569,0.59772,0.6713,0.40179,1.4601,1.13737,1.12772,0.009868,0.009868,0.009868
6,345.418,1.49275,1.08709,1.10278,0.78618,0.6308,0.70364,0.41614,1.49337,1.0012,1.12194,0.009835,0.009835,0.009835
7,403.054,1.46052,1.0298,1.09231,0.75609,0.64809,0.71344,0.40328,1.59476,1.02307,1.17216,0.009802,0.009802,0.009802
8,460.36,1.46529,1.00811,1.09262,0.79241,0.62716,0.71955,0.44998,1.38416,0.97023,1.09586,0.009769,0.009769,0.009769
9,517.747,1.43476,0.96319,1.08516,0.76538,0.67199,0.73788,0.44501,1.45141,0.94595,1.10552,0.009736,0.009736,0.009736
10,574.439,1.41734,0.94466,1.07945,0.78574,0.6668,0.74301,0.44135,1.48607,0.91846,1.1225,0.009703,0.009703,0.009703
11,631.328,1.40327,0.92335,1.0676,0.76764,0.69249,0.75002,0.47756,1.32721,0.87411,1.07106,0.00967,0.00967,0.00967
12,688.812,1.38907,0.90465,1.06988,0.8046,0.68523,0.75816,0.46631,1.43017,0.87936,1.09585,0.009637,0.009637,0.009637
13,745.979,1.37922,0.89552,1.06944,0.81624,0.67761,0.76057,0.43291,1.56962,0.95676,1.16531,0.009604,0.009604,0.009604
14,802.751,1.38127,0.88489,1.06898,0.81283,0.69782,0.77253,0.49246,1.32409,0.85865,1.07261,0.009571,0.009571,0.009571
15,859.433,1.37074,0.86612,1.06466,0.80222,0.68393,0.76514,0.48068,1.3871,0.85322,1.08444,0.009538,0.009538,0.009538
16,916.258,1.36496,0.8598,1.05673,0.79069,0.68484,0.75867,0.48076,1.33878,0.84294,1.08368,0.009505,0.009505,0.009505
17,973.589,1.36065,0.85462,1.06071,0.79322,0.7167,0.78449,0.51107,1.28792,0.79974,1.05961,0.009472,0.009472,0.009472
18,1030.37,1.34445,0.84164,1.05168,0.82652,0.70605,0.7892,0.50054,1.32023,0.79606,1.0673,0.009439,0.009439,0.009439
19,1087.75,1.34287,0.84235,1.05266,0.86173,0.704,0.79079,0.51241,1.28867,0.79859,1.05915,0.009406,0.009406,0.009406
20,1145.46,1.32863,0.82988,1.05151,0.80968,0.74137,0.80609,0.52424,1.28432,0.80144,1.05713,0.009373,0.009373,0.009373
