epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8071,1.70194,2.60372,1.1916,0.7166,0.3761,0.47899,0.27439,1.64574,2.8419,1.13039,0.00328502,0.00328502,0.00328502
2,119.929,1.56699,1.36294,1.1298,0.76175,0.55302,0.6316,0.31118,1.81606,1.44002,1.24615,0.00659652,0.00659652,0.00659652
3,178.506,1.5323,1.23688,1.12543,0.5742,0.54517,0.57014,0.32423,1.40753,1.36302,1.10671,0.00988601,0.00988601,0.00988601
4,237.837,1.52427,1.17931,1.12286,0.63872,0.53401,0.5501,0.31161,1.47303,1.34558,1.15388,0.009901,0.009901,0.009901
5,295.994,1.49151,1.10146,1.11758,0.73439,0.62895,0.68983,0.42509,1.40381,1.04896,1.11857,0.009868,0.009868,0.009868
6,354.949,1.46651,1.0513,1.1029,0.7407,0.62272,0.67227,0.36515,1.7067,1.08674,1.21706,0.009835,0.009835,0.009835
7,413.33,1.43079,0.99714,1.09131,0.68677,0.62052,0.65079,0.38466,1.42656,1.05389,1.12303,0.009802,0.009802,0.009802
8,472.148,1.43567,0.97405,1.09173,0.78265,0.6728,0.73697,0.44478,1.4285,0.94827,1.10881,0.009769,0.009769,0.009769
9,530.958,1.40804,0.93063,1.08566,0.8317,0.66281,0.7568,0.4814,1.31936,0.87795,1.07563,0.009736,0.009736,0.009736
10,589.546,1.38626,0.90935,1.0776,0.78395,0.69696,0.77446,0.4867,1.30055,0.86314,1.06762,0.009703,0.009703,0.009703
11,648.145,1.37196,0.89006,1.06671,0.81406,0.67907,0.75851,0.49276,1.29722,0.89939,1.06545,0.00967,0.00967,0.00967
12,706.115,1.357,0.86823,1.06798,0.77268,0.69857,0.7608,0.46749,1.39478,1.0422,1.08846,0.009637,0.009637,0.009637
